IP	2.28	.14
IP	2.32	.14
IP	2.34	.14
IP	2.36	.14
IP	2.38	.18
IP	2.4	3.22
IP	2.42	4
IP	2.44	4
IP	2.46	4
IP	2.48	4
IP	2.5	4
IP	2.52	4
IP	2.54	4.14
IP	2.56	5.16
IP	2.58	6
IP	2.6	8
IP	2.62	9.62
IP	2.64	9.82
IP	2.66	9.86
IP	2.68	10
IP	2.7	14
IP	2.72	15.02
IP	2.74	15.8
IP	2.76	18
IP	2.78	18
IP	2.8	18.78
IP	2.82	19.78
IP	2.84	21.14
IP	2.86	21.56
IP	2.88	21.62
IP	2.9	22.2
IP	2.92	23.06
IP	2.94	24.7
IP	2.96	28
IP	2.98	28.18
IP	3	30.8
IP	3.05	52
IP	3.1	54.44
IP	3.15	60
IP	3.2	62
IP	3.25	62.9
IP	3.3	82.3
IP	3.35	84.82
IP	3.4	98
IP	3.4	108.34
IP	3.45	130
IP	3.45	134.6
IP	3.5	134.64
IP	3.5	139.62
IP	4	145.12
IP	4.1	147.88
IP	4.2	153.62
IP	4.3	161.28
IP	4.4	167.88
IP	4.5	181.02
IP	4.6	189.56
IP	4.7	202.64
IP	4.8	213.6
IP	4.9	214.66
IP	5	215.2
IP	5.1	216.6
IP	5.2	216.86
IP	5.3	263.02
IP	5.4	290.26
IP	5.5	298.36
IP	5.6	350.6
IP	5.7	384.78
IP	5.8	414.58
IP	5.9	533.02
IP	6	590.26
IP	6.2	609.76
IP	6.4	619
IP	6.6	626.42
IP	6.8	713.26
IP	7	718.94
IP	7.2	1135.58
IP	7.4	1147.72
IP	7.6	1299.66
IP	7.8	1403.64
IP	8	1569.78
IP	8.2	2336.56
IP	8.4	2680.58
IP	8.6	2757.42
IP	8.8	3101.42
IP	9	8360.4
IP	9.2	10582
IP	9.4	23661.26
IP	9.6	25636.22
IP	9.8	28639.52
IP	10	84445.62
IP	10.5	130301.88
IP	11	139344.72
IP	12	
IP	12.5	
IP	13	
IP	13.5	
IP	14	
IP	15	
IP	16	
IP	17	
IP	18	
IP	19	
IP	20	
IP	21	
IP	22	
IP	24	
IP	25	
IP	29	
IP	32	
IP	36	
IP	40	
IP	48	
IP	50	
IP	60	
IP	65	
IP	75	
IP	95	
PE	100	
PE	120	
PE	200	
